name,year,imdb_rating,metascore,votes,genre,runtime
Anchorman 2: The Legend Continues,(2013),6.3,61,184039,Comedy,119
Mama,(I) (2013),6.2,57,183225,"Fantasy, Horror, Thriller",100
G.I. Joe: Retaliation,(2013),5.7,41,182731,"Action, Adventure, Sci-Fi",110
Evil Dead,(2013),6.5,57,174993,Horror,91
The Heat,(I) (2013),6.6,60,174201,"Action, Comedy, Crime",117
Insidious: Chapter 2,(2013),6.5,40,173299,"Horror, Mystery, Thriller",106
RED 2,(2013),6.6,47,173054,"Action, Comedy, Crime",116
Riddick,(2013),6.4,49,168540,"Action, Adventure, Sci-Fi",119
Saving Mr. Banks,(2013),7.5,65,163742,"Biography, Comedy, Drama",125
47 Ronin,(2013),6.2,28,162082,"Action, Drama, Fantasy",128
Before Midnight,(2013),7.9,94,160270,"Drama, Romance",109
Begin Again,(II) (2013),7.4,62,158382,"Comedy, Drama, Music",104
Grown Ups 2,(2013),5.3,19,156893,Comedy,101
Inside Llewyn Davis,(2013),7.4,93,155788,"Drama, Music",104
The Spectacular Now,(2013),7.1,82,155410,"Drama, Romance",95
Blue Is the Warmest Colour,(2013),7.7,90,154191,"Drama, Romance",180
Locke,(2013),7.1,81,151867,Drama,85
The Way Way Back,(2013),7.4,68,151772,"Comedy, Drama",103
Under the Skin,(I) (2013),6.3,80,146213,"Drama, Horror, Mystery",108
Carrie,(2013),5.8,53,142148,"Drama, Horror",100
Jack the Giant Slayer,(2013),6.2,51,140703,"Action, Adventure, Fantasy",114
The Last Stand,(2013),6.3,54,140183,"Action, Thriller, Western",107
The Book Thief,(2013),7.5,53,136994,"Drama, War",131
R.I.P.D.,(2013),5.6,25,135784,"Action, Adventure, Comedy",96
The Mortal Instruments: City of Bones,(2013),5.8,33,135416,"Action, Adventure, Fantasy",130
Identity Thief,(2013),5.7,35,135038,"Comedy, Crime, Drama",111
Last Vegas,(2013),6.6,48,133515,"Comedy, Drama",105
Oculus,(2013),6.5,61,131466,"Horror, Mystery, Thriller",104
Coherence,(2013),7.2,65,130696,"Drama, Mystery, Sci-Fi",89
Nymphomaniac: Vol. I,(2013),6.9,64,125662,Drama,117
Parker,(2013),6.2,42,124146,"Action, Crime, Thriller",118
The Call,(II) (2013),6.7,51,124113,"Drama, Thriller",94
Homefront,(I) (2013),6.5,40,122035,"Action, Crime, Thriller",100
The Best Offer,(2013),7.8,49,120855,"Crime, Drama, Mystery",131
Percy Jackson: Sea of Monsters,(2013),5.7,39,119687,"Adventure, Family, Fantasy",106
Nebraska,(2013),7.7,86,119232,"Adventure, Comedy, Drama",115
The Family,(I) (2013),6.3,42,118005,"Comedy, Crime, Thriller",111
